Title | Year | RQ1_Datasets | RQ1_Image_Count | RQ1_Class_Balance | RQ2_Preprocessing | RQ2_Augmentation | RQ3_RQ4_Seg_Scope | RQ5_RQ6_Class_Scope | RQ7_Model_Architecture | RQ7_Novelty | RQ7_Transfer_Learning | RQ8_Metrics_Used | RQ8_Best_Result | RQ8_SOTA_Compare | RQ9_Limitations | RQ10_Future_Work
Conditional Diffusion Models are Medical Image Classifiers that Provide Explainability and Uncertainty for Free | 2025 | ISIC Melanoma, CheXpert | 30,616 (ISIC: 10,212; CheXpert: 20,404) | Yes (Balanced subsets created) | Resizing (256x256), Discrete Wavelet Transform (Haar) | None reported (Explicitly states "no data augmentations" for diffusion classifiers) | N/A (Classification focus) | Binary (ISIC: Melanoma vs. Benign; CheXpert: Pleural Effusion vs. No Findings) | UNet (ADM-based), DiT-B/4, Stable Diffusion v2-base | New Application (Diffusion Classifiers with Majority Voting) | Yes [Stable Diffusion v2-base] | Accuracy, F1-score | ISIC: Acc 95.0%, F1 0.949; CheXpert: Acc 86.9%, F1 0.869 | Yes (vs. ResNet, EfficientNet, ViT, Swin) | High computational cost and slow inference speed compared to discriminative models; limited to 2D binary classification in this study | Evaluate robustness under domain shifts; extend to 3D image classification and multi-class tasks; in-depth analysis against other uncertainty methods | 10
Cutaneous Malignant Melanoma: A Review of Early Diagnosis and Management  | 2021  | N/A (Clinical Review)  | N/A  | N/A  | N/A  | N/A  | N/A  | N/A (Discusses clinical diagnosis of Melanoma)  | N/A (Medical Review; discusses dermoscopy, biopsy, confocal microscopy, etc.)  | N/A  | N/A  | N/A (Reports clinical survival/incidence rates)  | N/A  | N/A  | High mortality of metastatic melanoma; challenges in histopathology diagnosis; rising incidence rates  | Development of new therapeutic approaches; focus on early detection of metastatic lesions; genomic profiling  | 0
Data augmentation for skin lesion using self-attention based progressive generative adversarial network | 2021 | HAM10000 | 10,015 | No (Imbalanced); Balanced via Generative Data Augmentation (SPGGAN-TTUR) | Resizing (224x224), Normalization | Rotation, Flip (Horizontal/Vertical), Scale, Skew, Color Jitter (Saturation, Contrast, Brightness, Hue), Random Crops, Affine, AutoAugment, TenCrop, SPGGAN-TTUR (GANs) | N/A (Classification focus) | Multi-class (7 classes: Melanocytic nevi, Dermatofibroma, Melanoma, Vascular lesion, Actinic keratosis, Benign keratosis, Basal cell carcinoma) | SPGGAN-TTUR (Self-attention PGGAN), ResNet-18 | New Architecture (SPGGAN-TTUR for augmentation) | Yes [ImageNet] | Accuracy, AUC, Macro Precision, Sensitivity (Recall), Macro F1-score, GAN-train, GAN-test | AC: 66.1%, AUC: 79.3%, MR: 64.7% (SPGGAN-TTUR DA) | Yes (vs. Classical DA schemes) | Hardware limitations restricted resolution to 256x256 (vs original 600x450); latent vector size reduced; bright spot artifacts in generated melanoma images due to training data bias | Two-stage GAN-based DA (segmentation then synthesis); add self-attention to every stage of the model; evaluate on higher resolutions | 9
DCENSnet: A new deep convolutional ensemble network for skin cancer classification | 2024 | HAM10000 | 10,015 (Augmented to 50,024) | Balanced via Data Augmentation | Pixel Standardization (Gaussian), Resizing (28x28) | Rescale, Rotation, Width/Height Shift, Shear, Flip (Horizontal/Vertical) | N/A | Multi-class (7 classes: akiec, bcc, bkl, df, mel, vasc, nv) | DCENSnet (Ensemble of 3 Custom DCNNs with varying dropout) | New Architecture | No | Accuracy, Precision, Recall, F1 score, AUC | ACC: 99.53% | Yes | None explicitly reported | None reported | 10
Deep Learning Methods for Accurate Skin Cancer Recognition and Mobile Application | 2022 | HAM10000 | 10,015 | No (Imbalanced); Weighted classes used  | Manual Cropping (in App) | Random crops, Rotations, Zoom, Horizontal/Vertical Flips | N/A (Classification focus) | Both (Binary: Benign vs Malignant in App; Multi-class: 7 classes in experiments) | DenseNet169 (Winner), DenseNet121, DenseNet201, VGG16, VGG19, ResNet50, InceptionV3, MobileNetV2, InceptionResNetV2 | Comparison / Mobile Application Development | Yes [ImageNet] | Accuracy, Recall (Sensitivity), F1-Score, Precision, Specificity | ACC: 92.25%, Recall: 93.59%, F1: 93.27% (DenseNet169) | Yes (vs. MobileNet+LSTM, MSM-CNN, etc.) | Shortage of smartphone-taken skin lesion image databases for systematic app testing; imbalanced dataset | Use macro lens and stabilizer; AI super-resolution; flip image to be parallel; wireless sensor networks for data transfer; ensembles | 10
Deep Learning-Based Skin Lesion Diagnosis Model Using Dermoscopic Images | 2022 | ISIC Archive | Not specified (Test set: 309) | No (Imbalanced in test set) | Grayscale conversion, Top hat filtering, Inpainting (Hair removal) | None reported | Lesion Boundary | Multi-class (Angioma, Nevus, Lentigo NOS, Solar Lentigo, Melanoma, Seborrheic Keratosis, BCC) | Inception v3 (Feature Extractor), Gradient Boosting Tree (GBT) | New Method (IMLT-DL: MFO segmentation + Inception v3 features + GBT) | Yes (Feature Extraction) | Sensitivity, Specificity, Accuracy, Precision, G-measure, ROC | ACC: 99.2% | Yes | None reported | Improve segmentation using advanced DL-based instantaneous techniques | 8
Deep Learning-Based System for Automatic Melanoma Detection | 2020 | ISIC 2017, PH2 | 2,860 (ISIC 2017: 2,600; PH2: 260) | No (Imbalanced); Balanced via Data Augmentation | Gaussian filter, Cropping, Resizing (224x224), Normalization | Elastic deformations (Affine), Random rotation | Lesion Boundary | Binary (Melanoma vs. Non-Melanoma) | Deep Convolutional Encoder-Decoder Network (Custom) | New Architecture (Skip pathways + Lesion-classifier) | No | Accuracy, Dice Similarity Coefficient, Sensitivity, Specificity | ACC: 95%, Dice: 93% (PH2); ACC: 95% (ISIC 2017) | Yes (vs. FrCN, U-Net, FCN, SegNet) | Complex visual characteristics (fuzzy borders, low contrast, noise/hair); high computational cost of existing large networks | Real-time clinical application; Reduce architectural complexity | 10
Deep Learning-Based Transfer Learning for Classification of Skin Cancer | 2021 | HAM10000 | 10,015 (Augmented to ~22,000) | No (Imbalanced); Balanced via Data Augmentation (Replication) | Resizing (128x128), Normalization | Rotation, Zooming, Shifting (vertical/horizontal), Replication | N/A (Classification focus) | Multi-class (7 classes: Actinic keratosis, BCC, Benign keratosis, Dermatofibroma, Melanoma, Nevus, Vascular lesions) | VGG19, Inception V3, InceptionResNetV2, ResNet50, Xception, MobileNet | Comparative Analysis | Yes [ImageNet] | Accuracy, Recall, Precision, F-Measure, Loss | ACC: 90.48% (Xception) | Yes (Internal comparison) | Class imbalance; high similarity between certain lesions (Akiec and Mel); limited number of unique images | Proper fine-tuning of models; extensive research to address skin cancer deaths | 10
Deep neural networks are superior to dermatologists in melanoma image classification | 2019 | ISIC Archive | 5,008 (4,204 Training, 804 Testing) | Yes (1:1 ratio enforced) | None reported | None reported | N/A (Classification focus) | Binary (Melanoma vs Nevi) | ResNet50 | Transfer Learning / Training optimizations | Yes [ImageNet] | Sensitivity, Specificity, ROC | Sensitivity: 82.3%, Specificity: 77.9% | Yes (vs. Dermatologists) | Lack of clinical info; binary classification simplifies reality; 1:1 ratio bias; ground truth not independently reviewed; internal test set validity | Evaluate in prospective clinical trials; implementation as assistive tool | 10
Deep transfer learning approaches for Monkeypox disease diagnosis | 2023 | Monkeypox2022 (GitHub), Kaggle (MSID/MSLD) | 1,830 (Augmented); 76 (Original: 43 Monkeypox, 33 Normal) | No (Imbalanced); Balanced via Data Augmentation | Resizing (224x224), Zero-padding, Grayscale to RGB conversion | Rotation, Width/Height shift, Zoom, Shear, Horizontal flip, Reflective fill | N/A (Classification focus) | Both (Binary: Monkeypox vs Normal/Others; Multi-class: Monkeypox, Chickenpox, Measles, Normal) | VGG16, ResNet (50, 101, 152V2), Xception, EfficientNet (B0, B7, V2M, V2L), NasNetLarge | Transfer Learning / Generalization and Regularization (GRA-TLA) | Yes [ImageNet] | Accuracy Precision, Recall, F1-score, Sensitivity, Specificity, FLOPs, LIME, SHAP, GradCAM | ACC: 99% (ResNet101, Multi-class); ACC: 94% (Xception, Binary) | Yes (vs. ResNet50, Inception-V3, ShuffleNet-V2, MobileNet V2) | Data scarcity and privacy issues; lack of patient metadata; early stopping prevented full model training; no clinical pilot test | Conduct clinical pilot tests (e.g., in Bangladesh); collect more data; integrate patient metadata; develop mobile diagnosis tool | 8
DeepSkin: A Deep Learning Approach for Skin Cancer Classification | 2023 | HAM10000 | 10,015 | Yes (Oversampling and Undersampling) | Dull Razor (Hair Removal), Resizing, Normalization | Sampling (Oversampling, Undersampling) | Lesion Boundary | Multi-class (7 classes: akiec, bcc, bkl, df, mel, vasc, nv) | DenseNet169, ResNet50 | Application / Transfer Learning / Comparative Study | Yes [ImageNet] | Accuracy, F1-score, Precision, Recall | ACC: 91.2%, F1: 91.7% (DenseNet169 + Undersampling) | Yes (vs. other CNN models, e.g., ResNet50) | Technical implementation issues (DenseNet169 did not support oversampling, ResNet50 did not support undersampling); limited resources | Increase forecast accuracy through parameter tuning | 8
Dense-UNet: a novel multiphoton in vivo cellular image segmentation model based on a convolutional neural network | 2020 | Private (MPM in vivo skin cells) | 60 (Patches from 15 original images) | No (Imbalanced); Handled via Dice Loss | Patching, Resizing (128x128) | None reported | Attributes (Cells) | N/A (Segmentation focus) | Dense-UNet | New Architecture | No | Dice coefficient, Accuracy, Precision, Recall, F1-Score, IOU | Dice: 90.60%, Acc: 92.54% | Yes (vs. U-Net, Seg-Net) | Small dataset (60 patches); blurry cellular boundaries; low signal-to-noise ratio; overfitting in comparison models | Research variations of cellular features with pathologies; improve clinical diagnosis | 7
Dermatologist-Level Classification of Skin Cancer Using Cascaded Ensembling of Convolutional Neural Network and Handcrafted Features Based Deep Neural Network  | 2022  | HAM10000  | 10,015 (Augmented via SMOTE)  | No (Imbalanced); Balanced via SMOTE (Synthetic Minority Oversampling Technique)  | Resizing (28x28)  | SMOTE (Oversampling)  | N/A (Classification focus)  | Multi-class (7 classes: Actinic keratoses, Basal cell carcinoma, Benign keratosis, Dermatofibroma, Melanoma, Melanocytic nevi, Vascular skin lesions)  | Custom CNN (4 layers) + MLP (Cascaded Ensemble)  | Ensemble / Feature Fusion (CNN + Handcrafted Features: Color Moments, GLCM)  | No  | Precision, Sensitivity, F-score, Accuracy, AUC  | ACC: 98.3% (Cascaded Ensemble)  | Yes (vs. Standalone CNN)  | Higher computational complexity compared to standalone CNN due to additional feature extraction step  | Combine clinical features (sex, age, itching, burns, medical history) with handcrafted features for a more robust model  | 9
DermoExpert: Skin lesion classification using a hybrid convolutional neural network through segmentation, transfer learning, and augmentation | 2022 | ISIC-2016, ISIC-2017, ISIC-2018 | ~14,044 (ISIC-2016: 1,279; ISIC-2017: 2,750; ISIC-2018: 10,015) | No (Weighted loss and additional external data used for rebalancing) | Lesion Segmentation (ROI extraction via DSNet), Resizing (192x192), Standardization, Rescaling | Geometry-based (Rotation 180°/270°), Intensity-based (Gamma, Logarithmic, Sigmoid corrections, Stretching/Shrinking) | Lesion Boundary | Both | Hybrid-CNN (Custom blocks based on ResNet, Xception, DenseNet), DSNet (Segmentation) | Hybrid/Ensemble (Two-level ensembling: channel concatenation and FC averaging) | Yes [ImageNet] | Recall, Specificity, IoU, Precision, F1-score, AUC | AUC: 0.97 (ISIC-2018), 0.96 (ISIC-2016) | Yes | Difficulty balancing rare classes in ISIC-2018 (e.g., Dermatofibroma); High inter-class similarity (Nevus/Mel/SK) reduces ISIC-2017 performance | Generate synthetic realistic images (GANs) for underrepresented classes; Improve segmentation | 10
Designing a grey wolf optimization based hyper-parameter optimized convolutional neural network classifier for skin cancer detection | 2022 | ISIC (ISIC 2019 Training Set) | 25,330 | No (Imbalanced: NV=12,875 vs VL=253) | Resizing (Bilinear Interpolation to 100x100), RGB to Grayscale (Luminosity), Filtering (Gaussian/Bilateral - Gaussian chosen for final model) | None reported | N/A | Multi-class (8 classes: Melanoma, Nevus, BCC, AK, Benign Keratosis, Dermatofibroma, Vascular Lesion, SCC) | Custom CNN (3 Conv, 3 Pooling, 2 Dense) | Hyperparameter Optimization (Grey Wolf Optimization - GWO) | No | Accuracy, Precision, Recall, F-Score, Macro F, Average Precision, Loss | ACC: 98.33% (Testing) | Yes (vs. PSO-CNN, GA-CNN) | Training time cost; Limited scope of optimized parameters (only specific layer params) | Optimize training rate/size/activation functions; Apply new algorithms (Arithmetic Optimization, Salp Swarm); Test on other domains | 8
Detection of Skin Cancer Based on Skin Lesion Images Using Deep Learning | 2022 | ISIC 2018 | 3,533 | N/A (Subset used) | ESRGAN (Super-Resolution), Resizing, Normalization | Yes (Unspecified) | N/A | Binary (Benign vs Malignant) | Custom CNN, ResNet50, InceptionV3, InceptionResNet | ESRGAN for image enhancement | Yes [ResNet50, InceptionV3, InceptionResNet] | Accuracy | ACC: 85.8% (InceptionV3) | Yes | N/A | N/A | 8
Development and Assessment of an Artificial Intelligence-Based Tool for Skin Condition Diagnosis by Primary Care Physicians and Nurse Practitioners in Teledermatology Practices | 2019 | Private (Teledermatology clinic data), Public (ISIC, Dermofit, Edinburgh - used for Evaluation Set B) | ~25,664 (Train: 17,424; Val: 3,756; Eval A: 656; Eval B: 3,828) | Yes (Inverse frequency weighting) | Resizing (224x224), Central Crop | Random rotations, Flips, Color jitters | N/A | Multi-class (134 skin conditions) | Inception-v4 | Standard (Fine-tuning) | Yes [ImageNet] | Top-1 Accuracy, Top-3 Accuracy | Top-3 Accuracy: 87.3% (Evaluation Set B), 80.2% (Validation) | Yes (Compared to PCPs and NPs) | Domain shift (AI trained on specialist images, tested on PCP images); Limited to 134 conditions; "Black box" nature | Prospective clinical trials; Integration into Electronic Health Records (EHR) | 9
Diagnosis of skin cancer using machine learning techniques | 2021 | Dermatology Information System (DermIS), Dermquest | 17,212 | No (Handled via ADASYN synthetic sampling) | Resizing (50x50), Median Filtering, Normalization, Gray-scale conversion | ADASYN (Adaptive Synthetic Sampling) | Lesion Boundary (Active Contour Method) | Multi-class (7 classes: MEL, NV, BCC, AK, BKL, DF, VASC) | SVM, Random Forest, KNN (Machine Learning with HOG features) | Combination of Active Contour, HOG features, and ADASYN with classical ML | No | Accuracy, Specificity, Sensitivity, Precision, F-score, Jaccard Index, Dice Coefficient | ACC: 97.32% (SVM) | Yes | Reliance on handcrafted features (HOG); Classical ML approach may be limited compared to modern DL | Apply Deep Learning models to further improve accuracy | 6
Diagnosis of skin diseases in the era of deep learning and mobile technology  | 2021  | DermWeb, DermNet, Dermatoweb, DermQuest  | 725 (145 per class)  | Yes (Exact balance: 145/class)  | Resizing (224x224) , Manual Cropping (User-defined in App)  | None reported | N/A (Manual cropping only)  | Multi-class (5 classes: Seborrheic dermatitis, Rosacea, Hemangioma, Psoriasis, Acne vulgaris)  | Modified-MobileNet (Dilated Convolution, LeakyReLU, Hybrid Loss)  | New Architecture, Novel Loss Function (Cross-Entropy + Mutual Information)  | Yes [ImageNet]  | Accuracy, Specificity, Sensitivity, Precision, F1-Score, MCC, Loss  | ACC: 94.76%  | Yes (vs. SqueezeNet, ShuffleNet, MobileNet, RMNv2, LWEN, LB-FCN, CustomNet2)  | Performance drops for inhomogeneous lesions (Seborrheic Dermatitis); Reliance on Transfer Learning due to small dataset  | Expand to other dermatological diseases  | 8
DSNet: Automatic dermoscopic skin lesion segmentation  | 2020  | ISIC-2017, PH2  | 2,750 (ISIC-2017: 2,000 Train, 150 Val, 600 Test) + PH2 (Test only)  | No (Imbalanced: Nevus 68.5%, Melanoma 18.8%, SK 12.7%)  | Resizing (192x256), Standardization, Rescaling [0-1]  | Rotation, Zooming, Shifting, Flipping  | Lesion Boundary  | N/A (Segmentation focus)  | DSNet (DenseNet-like encoder, Depth-wise separable decoder)  | New Architecture (DSNet), New Loss Function (BCE + IoU)  | Yes [ImageNet] | mIoU, Sensitivity, Specificity, AUC  | mIoU: 77.5% (ISIC-2017), 87.0% (PH2); AUC: 0.953  | Yes (vs. U-Net, FCN8s, FrCN, SegNet, SLSDeep)  | Occasional segmentation failures on challenging images  | Hyperparameter tuning; More color space augmentations; Apply to other medical domains  | 9
Eff2Net: An efficient channel attention-based convolutional neural network for skin disease classification  | 2022  | DermNet NZ, Derm7pt, DermatoWeb, Fitzpatrick17k, Skin Cancer Detection Dataset, PAD-UFES-20, IEEE DataPort, SD-198, Kaggle (Skin disease image, Various Skin Diseases), DermAtlas, Hellenic Derm Atlas, Meddean  | 4,930 (Original); 17,329 (Augmented)  | Yes (Balanced via Augmentation)  | Resizing (300x300)  | Random contrast enhancement, Horizontal flipping, Negative 90-degree rotation, Random zooming  | N/A | Multi-class (4 classes: Acne, Actinic Keratosis, Melanoma, Psoriasis)  | Eff2Net (EfficientNetV2 backbone with Efficient Channel Attention blocks)  | New Architecture (Modified EfficientNetV2 with ECA)  | No (Not explicitly reported) | Accuracy, Precision, Recall, F1-score, Confusion Matrix  | ACC: 84.70%  | Yes (vs. InceptionV3, ResNet-50, DenseNet-201, EfficientNet-B4, EfficientNetV2-S)  | Increasing classes increases complexity; Study limited to 4 specific diseases  | Apply to other disease classification problems using microscopic and histopathological images  | 9
Efficient skin lesion segmentation using separable-Unet with stochastic weight averaging  | 2019  | ISIC 2016, ISIC 2017, PH2  | ~4,079 (ISIC 2016: 1,279; ISIC 2017: 2,600; PH2: 200)  | No (Imbalanced; handled via Dice loss)  | Resizing (192x256)  | Random vertical/horizontal flips, Rotation, Shifting, Grid-distortion  | Lesion Boundary  | N/A (Segmentation focus)  | Separable-Unet (Xception encoder, Separable Conv Blocks)  | Separable-Unet architecture, Stochastic Weight Averaging (SWA)  | Yes [ImageNet]  | Accuracy, Sensitivity, Specificity, Dice Coefficient, Jaccard Index, AUC, Precision-Recall  | Dice: 93.03% (ISIC 2016), 86.93% (ISIC 2017), 94.13% (PH2)  | Yes (vs. U-Net, FCN, MFCN, J-FCN, DCL-PSI, SLSDeep, FRCN)  | Standard learning schemes prone to overfitting on small/imbalanced datasets; Dilation post-processing caused over-segmentation  | Apply framework to other segmentation tasks with considerable variation of appearances  | 10
EIU-Net: Enhanced feature extraction and improved skip connections in U-Net for skin lesion segmentation  | 2023  | ISIC 2016, ISIC 2017, ISIC 2018, PH2  | ~6,825 (ISIC 2016: 1,279; ISIC 2017: 2,750; ISIC 2018: 2,596; PH2: 200)  | No (Augmentation used to increase diversity)  | Resizing (224x320), Normalization [0-1]  | Horizontal/Vertical flips, Random contrast enhancement, HSV adjustment, Regional coarse dropout  | Lesion Boundary  | N/A (Segmentation focus)  | EIU-Net (U-Net with Inverted Residual Blocks, EPSA, ASPP, Multi-layer Fusion, Reshaped Decoders Fusion)  | New Architecture  | No  | Jaccard Index, Dice Coefficient, Accuracy, Sensitivity, Specificity  | Dice: 0.919 (ISIC 2016), 0.855 (ISIC 2017), 0.902 (ISIC 2018)  | Yes (vs. U-Net, CE-Net, CPFNet, FAT-Net, DCSAU-Net, etc.)  | Fails on extremely low contrast, highly irregular boundaries, and serious hair occlusion  | Reduce network parameters; Improve boundary distinction  | 10
Enhancing Medical Image Segmentation with TransCeption: A Multi-Scale Feature Fusion Approach  | 2023  | Synapse Multi-Organ, ISIC 2018  | 2,594 (ISIC 2018)  | No (Imbalanced nature noted; no specific balancing method reported)  | Resizing (224x224)  | Flipping, Gaussian blurring, Linear contrast, Scaling, Rotation, Shearing, Translation, Gaussian noise  | Lesion Boundary  | N/A (Segmentation focus) | TransCeption (Pure Transformer U-Net with ResInception Patch Merging and Dual Transformer Bridge)  | New Architecture  | No (Trained without pre-trained weights)  | Dice Score, Accuracy, Specificity, Sensitivity, Hausdorff Distance  | DSC: 0.9124 (ISIC 2018)  | Yes (vs. U-Net, Att-UNet, TransUNet, Swin-Unet, MISSFormer)  | Previous transformers limited in multi-scale representation; Token-aware bridges ignore inter-channel interactions  | N/A | 10
Enhancing Skin Cancer Diagnosis Using Swin Transformer with Hybrid Shifted Window-Based Multi-head Self-attention and SwiGLU-Based MLP  | 2024  | ISIC 2019  | 25,331  | No (Imbalanced: NV=12,875 vs. DF=239)  | Resizing (224x224)  | Rotation, Scaling, Mirroring, Adding noise, Changing colors  | N/A | Multi-class (8 classes: MEL, NV, BCC, AK, BKL, DF, VASC, SCC)  | Swin Transformer (Modified with HSW-MSA and SwiGLU-based MLP)  | New Architecture (HSW-MSA + SwiGLU enhancements)  | Yes [ImageNet]  | Accuracy, Precision, Recall, F1-score  | ACC: 89.36%  | Yes (vs. 42 models including VGG16, ResNet, ViT, MaxViT, MobileViT)  | Lack of skin tone diversity (bias towards lighter skin); Class imbalance; Limited dataset size for data-intensive models  | Test on larger/more diverse datasets (skin types/ethnicities); Reduce computational load  | 10
Enhancing skin disease classification leveraging transformer-based deep learning architectures and explainable AI  | 2025  | Combined SDC Dataset (Atlas Dermatology + ISIC 2018), HAM10000, Dermnet  | ~34,425 (SDC: 4,910; HAM10000: 10,015; Dermnet: 19,500)  | No (Handled via Augmentation/Up-sampling)  | None reported | Vertical/Horizontal Flipping, Random Shear, Sharpening, Random Rotation, Center Crop, Brightness/Contrast variation, Histogram Equalization, Gaussian Noise, Blurring  | N/A | Multi-class (31 classes [SDC], 23 classes [Dermnet], 7 classes [HAM10000])  | DinoV2, Swin Transformer, Vision Transformer (ViT)  | Application of new architecture (DinoV2) to dermatology  | Yes [ImageNet1k]  | Accuracy, Precision, Recall, F1-Score, AUROC, AUPR  | ACC: 96.48% (DinoV2-Base on SDC)  | Yes (vs. EfficientNet, ResNet, VGG, ConvNeXt)  | Computational intensity/complexity; Generalizability to other diverse datasets unexplored  | Focus on lightweight architectures; Evaluate on wider range of datasets  | 10
Evaluation of artificial intelligence techniques in disease diagnosis and prediction  | 2023  | ISIC 2016 (referenced)  | N/A (Review Paper) | N/A (Review Paper) | Histogram Equalization (General)  | Data Augmentation (General)  | N/A | Binary (Skin Cancer)  | CNN, Bayesian DL (referenced)  | Review of existing methods  | Yes (General mention)  | Accuracy  | ACC: 91.85% (referenced study)  | No | Need for massive data; Labeling costs; Computational complexity; Low-contrast images; Patient privacy  | Personalized treatment plans; Genomic data integration; Federated learning  | 3
Evaluation of denoising techniques to remove speckle and Gaussian noise from dermoscopy images  | 2023  | HAM10000  | 805 (115 images from each of 7 categories)  | Yes (Balanced subset constructed)  | Denoising (Evaluated 23 methods including AWF, Anisotropic, Bilateral, BM3D, DCT, DnCNN, Gaussian, GMM, NLM, TV, Wavelet)  | Noise Addition (Gaussian, Speckle, Salt-and-pepper, Poisson added for testing)  | N/A (Denoising focus)  | N/A (Denoising focus)  | DnCNN (Deep Learning method used)  | Comparative review/implementation of 23 existing denoising methods  | No (DnCNN trained from scratch on subset)  | PSNR, MSE, SSIM, Processing Time  | PSNR: 45.24, SSIM: 0.97 (Patch shape integrated NLM)  | Yes (Comparatively evaluates 23 methods)  | Deep learning requires large datasets and computational resources; Filtering methods often blur edges or require experimental parameter tuning  | Test on larger datasets  | 8
Explainable artificial intelligence in skin cancer recognition: A systematic review  | 2022  | ISIC (2016, 2017, 2018, 2019), HAM10000, PH2, EDRA, Edinburgh Dermofit, MED-NODE, TCGA, Private datasets  | N/A (Review of 37 studies)  | N/A (Review) | N/A (Review focus on XAI) | N/A (Review focus on XAI) | Both (Validation against ground truth segmentation)  | Both  | ResNet, VGG, Inception, DenseNet, EfficientNet, MobileNet, Custom CNNs  | Systematic Review of XAI methods (GradCAM, LRP, SHAP, etc.)  | Yes [ImageNet]  | Jaccard Index, Dice Score (for XAI validation), Diagnostic Accuracy (for human readers)  | N/A (Review) | No | Superficial usage of XAI (sanity checks); Lack of robust human evaluation; Confirmation bias; Post-hoc approximation gaps  | Rigorous evaluation of XAI utility in clinical settings; Impact on diagnostic accuracy and trust  | 10
Explainable deep inherent learning for multi-classes skin lesion classification  | 2024  | HAM10000 (ISIC 2018)  | 10,015  | No (Imbalanced: NV=6,705 vs DF=115)  | Resizing (300x300)  | None reported (Explicitly stated "NO" augmentation)  | N/A (Classification focus; Localization via XAI, not explicit segmentation)  | Multi-class (7 classes: MEL, NV, BCC, AKIEC, BKL, DF, VASC)  | Deep Inherent Learning Network (Custom 54-layer architecture with Inherent Blocks)  | New Architecture (Deep Inherent Learning)  | No (Initialized randomly)  | Accuracy, Sensitivity, Specificity, Precision, F-score, ROC, Confusion Matrix  | ACC: 92.89%  | Yes (vs. Ali et al., Codella et al., Chowdhury et al.)  | Class imbalance causes confusion for underrepresented classes (e.g., DF, VASC)  | Retrain with more labeled data and wider range of observations for incorrect classes  | 9
Explainable skin lesion diagnosis using taxonomies  | 2021  | ISIC 2017, ISIC 2018  | ~14,277 (ISIC 2017: 2,750; ISIC 2018: 11,527)  | No (Handled via weighted loss function)  | Color normalization  | Random crop, Random flip, Random color transformation  | N/A (Attention maps for explainability)  | Both (Hierarchical: Binary Mel/Non-Mel, Benign/Malignant; Multi-class Differential Diagnosis)  | CNN (VGG-16, DenseNet-161, ResNet-50) + LSTM + Attention Module  | Hierarchical CNN-RNN with Spatial and Channel Attention  | Yes [ImageNet]  | Sensitivity, Specificity, Balanced Accuracy (BACC), AUC  | AUC: 94.1% (ISIC 2017, DenseNet-161)  | Yes (vs. Harangi, Barata & Marques, ISIC 2017 challenge participants)  | Lack of ground truth for ISIC 2018 test set prevents full error analysis; Sensitive to color normalization removal; Training data size limits channel attention learning  | Interpret attention regions from medical perspective; Improve robustness to acquisition conditions and color perception  | 10
Facial thermal imaging: A systematic review with guidelines and measurement uncertainty estimation | 2025 | N/A (Systematic Review of 315 papers) | N/A (Review) | N/A | N/A (Review of measurement protocols) | N/A | N/A | N/A (Focus on facial temperature for psychophysiology/vitals) | N/A | N/A | N/A | N/A | N/A | No | Lack of standardized protocols; Inaccurate measurements due to environmental factors; High measurement uncertainty ($1.3^\circ C$) for facial skin | Implement proposed guidelines for camera settings, subject preparation, and reporting; Standardize protocols to allow comparability 8888 | 1
FAT-Net: Feature adaptive transformers for automated skin lesion segmentation  | 2022  | ISIC 2016, ISIC 2017, ISIC 2018, PH2  | ~6,823 (ISIC 2016: 1,279; ISIC 2017: 2,750; ISIC 2018: 2,594; PH2: 200)  | No (Pixel-level imbalance handled via Dice Loss)  | Resizing (224x224), Patch Tokenization  | Vertical Flip, Rotation, Brightness/Contrast, Hue/Saturation/Value  | Lesion Boundary  | N/A (Segmentation focus)  | FAT-Net (Dual Encoder: ResNet-34 + DeiT-tiny, Feature Adaptation Module, Memory-Efficient Decoder)  | New Architecture (Dual CNN-Transformer Encoder)  | Yes [ImageNet]  | Sensitivity, Specificity, Accuracy, IoU, Dice Coefficient, FPS  | Dice: 91.59% (ISIC 2016), 85.00% (ISIC 2017), 89.03% (ISIC 2018), 94.40% (PH2)  | Yes (vs. U-Net, AttU-Net, CPFNet, DAGAN, etc.)  | Struggles with extremely low contrast and complex color variations  | N/A | 10
FCN-Based DenseNet Framework for Automated Detection and Classification of Skin Lesions in Dermoscopy Images  | 2020  | HAM10000, ISBI 2017, ISBI 2018, PH2  | ~12,830 (HAM10000: 10,030; ISBI 2017: 2,600; PH2: 200)  | No (Handled via on-the-fly Data Augmentation)  | Normalization (Rescaling 1/255)  | Flipping, Rotation, Scaling, Shear  | Lesion Boundary  | Multi-class (7 classes: AKIEC, BCC, BKL, DF, MEL, NV, VASC)  | FCN-based DenseNet, Encoder-Decoder with CRF  | New Architecture (FCN-based DenseNet, Concatenation Strategy)  | No (Trained from scratch with hyperparameter optimization)  | Accuracy, Dice Coefficient, Sensitivity, Specificity, Precision, Recall, F1-Score, AUC  | ACC: 98.3% (HAM10000), Dice: 92.1% (ISBI 2017)  | Yes (vs. FrCN, CNN-HRFB, DCN TransferL, VGG16, etc.)  | None reported (Focus on overcoming limitations of others)  | None reported  | 10
